stop_name;stop_lon;stop_lat;shortName;mode;Pointgeo;Nom_commune;code postal
Hï¿½pital Percy;2.257775122431171;48.81451596168558;190;Bus;48.81451596168558, 2.257775122431171;Clamart;92023
Chemin des Vignes;2.255977437248459;48.817382847450354;190;Bus;48.817382847450354, 2.255977437248459;Issy-les-Moulineaux;92040
Issy RER;2.258678791468557;48.81896456763158;190;Bus;48.81896456763158, 2.258678791468557;Issy-les-Moulineaux;92040
Place John Fitzgerald Kennedy;2.2635860532006093;48.82059580480686;190;Bus;48.82059580480686, 2.2635860532006093;Issy-les-Moulineaux;92040
Hï¿½pital Sainte-Emilie;2.251773310706968;48.80759815810417;191;Bus;48.80759815810417, 2.251773310706968;Clamart;92023
Mairie;2.263024490059578;48.7996183972287;191;Bus;48.7996183972287, 2.263024490059578;Clamart;92023
Barbusse - Vedrines;2.285053186119691;48.8105180007657;191;Bus;48.810518000765704, 2.285053186119691;Chï¿½tillon;92020
Le Parc;2.2928611573906914;48.813145697353896;191;Bus;48.813145697353896, 2.2928611573906914;Malakoff;92046
Maurice Thorez;2.300102901096419;48.81641711997146;191;Bus;48.81641711997146, 2.300102901096419;Malakoff;92046
Rue Legrand;2.3022858869657545;48.82426352356293;191;Bus;48.824263523562934, 2.3022858869657545;Malakoff;92046
Hoche;2.291173901129972;48.816049732448086;191;Bus;48.816049732448086, 2.2911739011299717;Malakoff;92046
Lazare - Carnot;2.2744074611617244;48.80834027976447;191;Bus;48.80834027976447, 2.2744074611617244;Clamart;92023
Mairie de Clamart;2.2636036440582186;48.80006267554255;191;Bus;48.80006267554255, 2.2636036440582186;Clamart;92023
Galliera - Saint-Philippe;2.2482182570962608;48.807674788102986;191;Bus;48.807674788102986, 2.2482182570962608;Meudon;92048
Lycï¿½e Lakanal;2.308262888389006;48.77723263651494;192;Bus;48.77723263651494, 2.308262888389006;Sceaux;92071
Institut Notre-Dame;2.3184293542259797;48.78133844039988;192;Bus;48.78133844039988, 2.3184293542259793;Bourg-la-Reine;92014
Petit Chambord;2.313223278600431;48.77671260889222;192;Bus;48.77671260889222, 2.313223278600431;Bourg-la-Reine;92014
Lycï¿½e Lakanal;2.306979832574152;48.777522008942334;192;Bus;48.777522008942334, 2.306979832574152;Bourg-la-Reine;92014
12 fï¿½vrier 1934;2.307483288309923;48.81752137181444;194;Bus;48.81752137181444, 2.307483288309923;Malakoff;92046
Jean Mermoz;2.2917629534318498;48.8087771371242;194;Bus;48.808777137124196, 2.2917629534318498;Chï¿½tillon;92020
Marc Sangnier;2.2752608560517644;48.77240496166485;194;Bus;48.77240496166485, 2.2752608560517644;Chï¿½tenay-Malabry;92019
Jean Jaurï¿½s;2.273883088395298;48.76971630205795;194;Bus;48.76971630205795, 2.273883088395298;Chï¿½tenay-Malabry;92019
Thï¿½ï¿½tre La Piscine;2.271970434965441;48.76441600891019;194;Bus;48.76441600891019, 2.2719704349654415;Chï¿½tenay-Malabry;92019
Rue de Paradis;2.300009838428901;48.78682630433988;194;Bus;48.786826304339876, 2.300009838428901;Fontenay-aux-Roses;92032
Facultï¿½ de Pharmacie;2.27116958546683;48.76233343341225;194;Bus;48.76233343341225, 2.27116958546683;Chï¿½tenay-Malabry;92019
Andrï¿½ Salel;2.2845195468354498;48.79383091080732;194;Bus;48.79383091080732, 2.2845195468354498;Fontenay-aux-Roses;92032
Pierrelais;2.287374140438016;48.79812014543694;194;Bus;48.79812014543694, 2.2873741404380157;Chï¿½tillon;92020
D'Estienne d'Orves - Division Leclerc;2.2865671195866595;48.79939248462851;194;Bus;48.79939248462851, 2.2865671195866595;Chï¿½tillon;92020
Centre de Chï¿½tillon;2.2882827355575515;48.80436740805735;194;Bus;48.80436740805735, 2.2882827355575515;Chï¿½tillon;92020
Clï¿½ment Perriï¿½re;2.285392423748788;48.807623974207935;194;Bus;48.807623974207935, 2.285392423748788;Chï¿½tillon;92020
Jean Mermoz;2.292906437658878;48.80880189398109;194;Bus;48.80880189398109, 2.292906437658878;Chï¿½tillon;92020
Marcelin Berthelot;2.296479634882327;48.809398587945246;194;Bus;48.809398587945246, 2.296479634882327;Chï¿½tillon;92020
Pierre Brossolette - Gabriel Pï¿½ri;2.310156832776201;48.81926364770531;194;Bus;48.81926364770531, 2.3101568327762014;Montrouge;92049
Depinoy;2.313866677227917;48.82196515702969;194;Bus;48.82196515702969, 2.313866677227917;Montrouge;92049
Rï¿½publique - Deforges;2.297564012880694;48.803702789553896;195;Bus;48.803702789553896, 2.297564012880694;Chï¿½tillon;92020
Centre Bus;2.276106548532051;48.79580391657038;195;Bus;48.79580391657038, 2.276106548532051;Chï¿½tillon;92020
Rue Gabrielle;2.2592620474452687;48.786535686214194;195;Bus;48.786535686214194, 2.2592620474452687;Clamart;92023
Moulin Fidel;2.257398344662426;48.77403115170077;195;Bus;48.77403115170077, 2.257398344662426;Le Plessis-Robinson;92060
Daniel Defoe;2.258962076600024;48.78082251685718;195;Bus;48.78082251685718, 2.258962076600024;Le Plessis-Robinson;92060
La Cavï¿½e;2.258643403048136;48.787925944493104;195;Bus;48.787925944493104, 2.258643403048136;Clamart;92023
Chartres - Blanchard;2.2925177654003264;48.79629792940303;195;Bus;48.796297929403025, 2.2925177654003264;Bagneux;92007
Perrotin;2.296146031248476;48.80056903233272;195;Bus;48.800569032332724, 2.296146031248476;Chï¿½tillon;92020
La Fontaine;2.311471464738967;48.77024467976905;196;Bus;48.77024467976905, 2.311471464738967;Antony;92002
Morteaux;2.307794479611164;48.760221786752;196;Bus;48.760221786752, 2.3077944796111636;Antony;92002
Lycï¿½e Descartes;2.309495563412858;48.74783739397554;197;Bus;48.747837393975544, 2.309495563412858;Antony;92002
Gï¿½nï¿½ral de Gaulle - Croix de Berny;2.30870260992566;48.762529590602114;197;Bus;48.762529590602114, 2.30870260992566;Antony;92002
Gabriel Pï¿½ri;2.325752208519726;48.81813843604876;197;Bus;48.81813843604876, 2.325752208519726;Montrouge;92049
Collï¿½ge Henri Georges Adam / Collï¿½ge des Rabats;2.3056100834673514;48.73932409605598;197;Bus;48.73932409605598, 2.3056100834673514;Antony;92002
