route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;shortName;mode;Pointgeo;Nom_commune;Code_insee
IDFM:C01402;N61;IDFM:9978;Mus�e de S�vres;2.2233351312543;48.82723946676704;RATP;N61;Bus;48.82723946676704, 2.2233351312543;S�vres;92072
IDFM:C01402;N61;IDFM:39459;Billancourt;2.2379256338454323;48.83179428051127;RATP;N61;Bus;48.83179428051127, 2.2379256338454323;Boulogne-Billancourt;92012
IDFM:C01402;N61;IDFM:25510;Ren� Descartes;2.2474867762235378;48.83477780663398;RATP;N61;Bus;48.83477780663398, 2.2474867762235378;Boulogne-Billancourt;92012
IDFM:C01402;N61;IDFM:25509;Henri Martin;2.251854259251693;48.83612729091689;RATP;N61;Bus;48.83612729091689, 2.251854259251693;Boulogne-Billancourt;92012
IDFM:C01402;N61;IDFM:8097;11 Novembre;2.227305218674149;48.821311222456025;RATP;N61;Bus;48.821311222456025, 2.227305218674149;Meudon;92048
IDFM:C01402;N61;IDFM:23859;Trivaux - Vertugadins - Lyc�e;2.23414236045928;48.803709007429475;RATP;N61;Bus;48.803709007429475, 2.23414236045928;Meudon;92048
IDFM:C01402;N61;IDFM:37038;Tapis Vert;2.2335399830618865;48.789107697711046;RATP;N61;Bus;48.789107697711046, 2.2335399830618865;Meudon;92048
IDFM:C01403;N62;IDFM:420460;Place du Garde;2.2569240437089912;48.80352002010862;RATP;N62;Bus;48.80352002010862, 2.2569240437089912;Clamart;92023
IDFM:C01403;N62;IDFM:12166;Vall�e aux Loups;2.254691828868308;48.76630618253251;RATP;N62;Bus;48.76630618253251, 2.254691828868308;Ch�tenay-Malabry;92019
IDFM:C01403;N62;IDFM:27312;G�n�ral de Gaulle - Croix de Berny;2.308317433026589;48.76387650528659;RATP;N62;Bus;48.76387650528659, 2.308317433026589;Antony;92002
IDFM:C01403;N62;IDFM:37854;Europe / LaVall�e;2.2897370133228674;48.76156385029453;RATP;N62;Bus;48.76156385029453, 2.2897370133228674;Ch�tenay-Malabry;92019
IDFM:C01403;N62;IDFM:41841;H�pital Antoine B�cl�re;2.2537062315154497;48.78670798237926;RATP;N62;Bus;48.78670798237926, 2.2537062315154497;Clamart;92023
IDFM:C01403;N62;IDFM:37040;Jardin Parisien - H�pital B�cl�re;2.2527890421949466;48.790875538193504;RATP;N62;Bus;48.790875538193504, 2.2527890421949466;Clamart;92023
IDFM:C01403;N62;IDFM:19770;Place du Garde;2.257349674907312;48.80327083232873;RATP;N62;Bus;48.80327083232873, 2.257349674907312;Clamart;92023
IDFM:C01403;N62;IDFM:36161;Lazare - Carnot;2.2720206358524035;48.809593919160214;RATP;N62;Bus;48.809593919160214, 2.2720206358524035;Clamart;92023
IDFM:C01403;N62;IDFM:477809;Rue de Ch�tillon;2.283254624337629;48.817531484258765;RATP;N62;Bus;48.817531484258765, 2.283254624337629;Vanves;92075
IDFM:C01403;N62;IDFM:37066;Corentin Celton - M�tro;2.2788848360298846;48.82723656585314;RATP;N62;Bus;48.82723656585314, 2.2788848360298846;Issy-les-Moulineaux;92040
IDFM:C01403;N62;IDFM:37260;Maison de Retraite;2.2752295064557635;48.82855454791718;RATP;N62;Bus;48.82855454791718, 2.2752295064557635;Issy-les-Moulineaux;92040
IDFM:C01403;N62;IDFM:37259;S�verine;2.2786851143115534;48.83084187776406;RATP;N62;Bus;48.83084187776406, 2.2786851143115534;Issy-les-Moulineaux;92040
IDFM:C01408;N63;IDFM:12775;Groupe Scolaire Sophie Barat;2.269801586185115;48.758007784147445;RATP;N63;Bus;48.758007784147445, 2.269801586185115;Ch�tenay-Malabry;92019
IDFM:C01408;N63;IDFM:23150;Docteur le Savoureux;2.2735326363637687;48.76849994245417;RATP;N63;Bus;48.76849994245417, 2.2735326363637687;Ch�tenay-Malabry;92019
IDFM:C01408;N63;IDFM:28609;Carrefour des Mouilleboeufs;2.282737395700199;48.783845746489945;RATP;N63;Bus;48.783845746489945, 2.282737395700199;Fontenay-aux-Roses;92032
IDFM:C01408;N63;IDFM:23156;Boulevard de la R�publique;2.288117312115428;48.788554871803335;RATP;N63;Bus;48.788554871803335, 2.288117312115428;Fontenay-aux-Roses;92032
IDFM:C01408;N63;IDFM:8036;Libert�;2.2936812354197293;48.79784279278891;RATP;N63;Bus;48.79784279278891, 2.2936812354197293;Ch�tillon;92020
IDFM:C01408;N63;IDFM:24541;Cimeti�re;2.29120976263881;48.79437444422247;RATP;N63;Bus;48.79437444422247, 2.29120976263881;Fontenay-aux-Roses;92032
IDFM:C01408;N63;IDFM:8182;Docteur le Savoureux;2.2727667844169197;48.76780272148656;RATP;N63;Bus;48.76780272148656, 2.2727667844169197;Ch�tenay-Malabry;92019
IDFM:C01408;N63;IDFM:420455;Facult� de Pharmacie;2.270783622314165;48.76171946200471;RATP;N63;Bus;48.76171946200471, 2.270783622314165;Ch�tenay-Malabry;92019
IDFM:C01409;N53;IDFM:413111;Nanterre - Pr�fecture RER;2.220906712648718;48.89676220548264;RATP;N53;Bus;48.89676220548264, 2.220906712648718;Nanterre;92050
IDFM:C01409;N53;IDFM:23865;Joliot-Curie - Courbevoie;2.2130443016902213;48.89443548315235;RATP;N53;Bus;48.89443548315235, 2.2130443016902213;Nanterre;92050
